state,x,y
Tamil Nadu,-120,-286
Kerala,-177,-297
Andhra Pradesh,-129,-197
Karnataka,-199,-202
Telangana,-109,-135
Maharashtra,-198,-80
Puducherry,-57,-266
Chhattisgarh,-24,-34
Odisha,27,-63
West Bengal,125,-1
Jharkhand,49,33
Bihar,70,77
Madhya Pradesh,-142,10
Gujarat,-284,7
Rajasthan,-253,107
Uttar Pradesh,-63,94
Haryana,-174,173
Uttarakhand,-89,190
Punjab,-186,201
Himachal Pradesh,-138,231
Ladakh,-127,290
Jammu And Kashmir,-237,271
Sikkim,144,133
Assam,225,107
Meghalaya,172,76
Tripura,198,35
Mizoram,250,27
Manipur,265,63
Nagaland,280,102
Arunachal Pradesh,194,157
Lakshadweep,-282,-266
Goa,-230,-184
Andaman And Nicobar,223,-247
